dteday;casual;registered;cnt
06/08/11;1521;2773;4294
07/08/11;1298;2487;3785
08/08/11;846;3480;4326
09/08/11;907;3695;4602
10/08/11;884;3896;4780
11/08/11;812;3980;4792
12/08/11;1051;3854;4905
13/08/11;1504;2646;4150
14/08/11;1338;2482;3820
15/08/11;775;3563;4338
16/08/11;721;4004;4725
17/08/11;668;4026;4694
18/08/11;639;3166;3805
19/08/11;797;3356;4153
20/08/11;1914;3277;5191
21/08/11;1249;2624;3873
22/08/11;833;3925;4758
23/08/11;1281;4614;5895
24/08/11;949;4181;5130
25/08/11;435;3107;3542
26/08/11;768;3893;4661
27/08/11;226;889;1115
28/08/11;1415;2919;4334
29/08/11;729;3905;4634
30/08/11;775;4429;5204
31/08/11;688;4370;5058
01/09/11;783;4332;5115
02/09/11;875;3852;4727
03/09/11;1935;2549;4484
04/09/11;2521;2419;4940
05/09/11;1236;2115;3351
06/09/11;204;2506;2710
07/09/11;118;1878;1996
08/09/11;153;1689;1842
09/09/11;417;3127;3544
10/09/11;1750;3595;5345
11/09/11;1633;3413;5046
12/09/11;690;4023;4713
13/09/11;701;4062;4763
14/09/11;647;4138;4785
15/09/11;428;3231;3659
16/09/11;742;4018;4760
17/09/11;1434;3077;4511
18/09/11;1353;2921;4274
19/09/11;691;3848;4539
20/09/11;438;3203;3641
21/09/11;539;3813;4352
22/09/11;555;4240;4795
23/09/11;258;2137;2395
24/09/11;1776;3647;5423
25/09/11;1544;3466;5010
26/09/11;684;3946;4630
27/09/11;477;3643;4120
28/09/11;480;3427;3907
29/09/11;653;4186;4839
30/09/11;830;4372;5202
01/10/11;480;1949;2429
02/10/11;616;2302;2918
03/10/11;330;3240;3570
04/10/11;486;3970;4456
05/10/11;559;4267;4826
06/10/11;639;4126;4765
07/10/11;949;4036;4985
08/10/11;2235;3174;5409
09/10/11;2397;3114;5511
10/10/11;1514;3603;5117
11/10/11;667;3896;4563
12/10/11;217;2199;2416
13/10/11;290;2623;2913
14/10/11;529;3115;3644
15/10/11;1899;3318;5217
16/10/11;1748;3293;5041
17/10/11;713;3857;4570
18/10/11;637;4111;4748
19/10/11;254;2170;2424
20/10/11;471;3724;4195
21/10/11;676;3628;4304
22/10/11;1499;2809;4308
23/10/11;1619;2762;4381
24/10/11;699;3488;4187
25/10/11;695;3992;4687
26/10/11;404;3490;3894
27/10/11;240;2419;2659
28/10/11;456;3291;3747
29/10/11;57;570;627
30/10/11;885;2446;3331
31/10/11;362;3307;3669
01/11/11;410;3658;4068
02/11/11;370;3816;4186
03/11/11;318;3656;3974
04/11/11;470;3576;4046
05/11/11;1156;2770;3926
06/11/11;952;2697;3649
07/11/11;373;3662;4035
08/11/11;376;3829;4205
09/11/11;305;3804;4109
10/11/11;190;2743;2933
11/11/11;440;2928;3368
12/11/11;1275;2792;4067
13/11/11;1004;2713;3717
14/11/11;595;3891;4486
15/11/11;449;3746;4195
16/11/11;145;1672;1817
17/11/11;139;2914;3053
18/11/11;245;3147;3392
19/11/11;943;2720;3663
20/11/11;787;2733;3520
21/11/11;220;2545;2765
22/11/11;69;1538;1607
23/11/11;112;2454;2566
24/11/11;560;935;1495
25/11/11;1095;1697;2792
26/11/11;1249;1819;3068
27/11/11;810;2261;3071
28/11/11;253;3614;3867
29/11/11;96;2818;2914
30/11/11;188;3425;3613
01/12/11;182;3545;3727
02/12/11;268;3672;3940
03/12/11;706;2908;3614
04/12/11;634;2851;3485
05/12/11;233;3578;3811
06/12/11;126;2468;2594
07/12/11;50;655;705
08/12/11;150;3172;3322
09/12/11;261;3359;3620
10/12/11;502;2688;3190
11/12/11;377;2366;2743
12/12/11;143;3167;3310
13/12/11;155;3368;3523
14/12/11;178;3562;3740
15/12/11;181;3528;3709
16/12/11;178;3399;3577
17/12/11;275;2464;2739
18/12/11;220;2211;2431
19/12/11;260;3143;3403
20/12/11;216;3534;3750
21/12/11;107;2553;2660
22/12/11;227;2841;3068
23/12/11;163;2046;2209
24/12/11;155;856;1011
25/12/11;303;451;754
26/12/11;430;887;1317
27/12/11;103;1059;1162
28/12/11;255;2047;2302
29/12/11;254;2169;2423
30/12/11;491;2508;2999
31/12/11;665;1820;2485
01/01/12;686;1608;2294
02/01/12;244;1707;1951
03/01/12;89;2147;2236
04/01/12;95;2273;2368
05/01/12;140;3132;3272
06/01/12;307;3791;4098
07/01/12;1070;3451;4521
08/01/12;599;2826;3425
09/01/12;106;2270;2376
10/01/12;173;3425;3598
11/01/12;92;2085;2177
12/01/12;269;3828;4097
13/01/12;174;3040;3214
14/01/12;333;2160;2493
15/01/12;284;2027;2311
16/01/12;217;2081;2298
17/01/12;127;2808;2935
18/01/12;109;3267;3376
19/01/12;130;3162;3292
20/01/12;115;3048;3163
21/01/12;67;1234;1301
22/01/12;196;1781;1977
23/01/12;145;2287;2432
24/01/12;439;3900;4339
25/01/12;467;3803;4270
26/01/12;244;3831;4075
27/01/12;269;3187;3456
28/01/12;775;3248;4023
29/01/12;558;2685;3243
30/01/12;126;3498;3624
31/01/12;324;4185;4509
01/02/12;304;4275;4579
02/02/12;190;3571;3761
03/02/12;310;3841;4151
04/02/12;384;2448;2832
05/02/12;318;2629;2947
06/02/12;206;3578;3784
07/02/12;199;4176;4375
08/02/12;109;2693;2802
09/02/12;163;3667;3830
10/02/12;227;3604;3831
11/02/12;192;1977;2169
12/02/12;73;1456;1529
13/02/12;94;3328;3422
14/02/12;135;3787;3922
15/02/12;141;4028;4169
16/02/12;74;2931;3005
17/02/12;349;3805;4154
18/02/12;1435;2883;4318
19/02/12;618;2071;2689
20/02/12;502;2627;3129
21/02/12;163;3614;3777
22/02/12;394;4379;4773
23/02/12;516;4546;5062
24/02/12;246;3241;3487
25/02/12;317;2415;2732
26/02/12;515;2874;3389
27/02/12;253;4069;4322
28/02/12;229;4134;4363
29/02/12;65;1769;1834
01/03/12;325;4665;4990
02/03/12;246;2948;3194
03/03/12;956;3110;4066
04/03/12;710;2713;3423
05/03/12;203;3130;3333
06/03/12;221;3735;3956
07/03/12;432;4484;4916
08/03/12;486;4896;5382
09/03/12;447;4122;4569
10/03/12;968;3150;4118
11/03/12;1658;3253;4911
12/03/12;838;4460;5298
13/03/12;762;5085;5847
14/03/12;997;5315;6312
15/03/12;1005;5187;6192
16/03/12;548;3830;4378
17/03/12;3155;4681;7836
18/03/12;2207;3685;5892
19/03/12;982;5171;6153
20/03/12;1051;5042;6093
21/03/12;1122;5108;6230
22/03/12;1334;5537;6871
23/03/12;2469;5893;8362
24/03/12;1033;2339;3372
25/03/12;1532;3464;4996
26/03/12;795;4763;5558
27/03/12;531;4571;5102
28/03/12;674;5024;5698
29/03/12;834;5299;6133
30/03/12;796;4663;5459
31/03/12;2301;3934;6235
01/04/12;2347;3694;6041
02/04/12;1208;4728;5936
03/04/12;1348;5424;6772
04/04/12;1058;5378;6436
05/04/12;1192;5265;6457
06/04/12;1807;4653;6460
07/04/12;3252;3605;6857
08/04/12;2230;2939;5169
09/04/12;905;4680;5585
10/04/12;819;5099;5918
11/04/12;482;4380;4862
12/04/12;663;4746;5409
13/04/12;1252;5146;6398
14/04/12;2795;4665;7460
15/04/12;2846;4286;7132
16/04/12;1198;5172;6370
17/04/12;989;5702;6691
18/04/12;347;4020;4367
19/04/12;846;5719;6565
20/04/12;1340;5950;7290
21/04/12;2541;4083;6624
22/04/12;120;907;1027
23/04/12;195;3019;3214
24/04/12;518;5115;5633
25/04/12;655;5541;6196
26/04/12;475;4551;5026
27/04/12;1014;5219;6233
28/04/12;1120;3100;4220
29/04/12;2229;4075;6304
30/04/12;665;4907;5572
01/05/12;653;5087;5740
02/05/12;667;5502;6169
03/05/12;764;5657;6421
04/05/12;1069;5227;6296
05/05/12;2496;4387;6883
06/05/12;2135;4224;6359
07/05/12;1008;5265;6273
08/05/12;738;4990;5728
09/05/12;620;4097;4717
10/05/12;1026;5546;6572
11/05/12;1319;5711;7030
12/05/12;2622;4807;7429
13/05/12;2172;3946;6118
14/05/12;342;2501;2843
15/05/12;625;4490;5115
16/05/12;991;6433;7424
17/05/12;1242;6142;7384
18/05/12;1521;6118;7639
19/05/12;3410;4884;8294
20/05/12;2704;4425;7129
21/05/12;630;3729;4359
22/05/12;819;5254;6073
23/05/12;766;4494;5260
24/05/12;1059;5711;6770
25/05/12;1417;5317;6734
26/05/12;2855;3681;6536
27/05/12;3283;3308;6591
28/05/12;2557;3486;6043
29/05/12;880;4863;5743
30/05/12;745;6110;6855
31/05/12;1100;6238;7338
01/06/12;533;3594;4127
02/06/12;2795;5325;8120
03/06/12;2494;5147;7641
04/06/12;1071;5927;6998
05/06/12;968;6033;7001
06/06/12;1027;6028;7055
07/06/12;1038;6456;7494
08/06/12;1488;6248;7736
09/06/12;2708;4790;7498
10/06/12;2224;4374;6598
11/06/12;1017;5647;6664
12/06/12;477;4495;4972
13/06/12;1173;6248;7421
14/06/12;1180;6183;7363
15/06/12;1563;6102;7665
16/06/12;2963;4739;7702
17/06/12;2634;4344;6978
18/06/12;653;4446;5099
19/06/12;968;5857;6825
20/06/12;872;5339;6211
21/06/12;778;5127;5905
22/06/12;964;4859;5823
23/06/12;2657;4801;7458
24/06/12;2551;4340;6891
25/06/12;1139;5640;6779
26/06/12;1077;6365;7442
27/06/12;1077;6258;7335
28/06/12;921;5958;6879
29/06/12;829;4634;5463
30/06/12;1455;4232;5687
01/07/12;1421;4110;5531
02/07/12;904;5323;6227
03/07/12;1052;5608;6660
04/07/12;2562;4841;7403
05/07/12;1405;4836;6241
06/07/12;1366;4841;6207
07/07/12;1448;3392;4840
08/07/12;1203;3469;4672
09/07/12;998;5571;6569
10/07/12;954;5336;6290
11/07/12;975;6289;7264
12/07/12;1032;6414;7446
13/07/12;1511;5988;7499
14/07/12;2355;4614;6969
15/07/12;1920;4111;6031
16/07/12;1088;5742;6830
17/07/12;921;5865;6786
18/07/12;799;4914;5713
19/07/12;888;5703;6591
20/07/12;747;5123;5870
21/07/12;1264;3195;4459
22/07/12;2544;4866;7410
23/07/12;1135;5831;6966
24/07/12;1140;6452;7592
25/07/12;1383;6790;8173
26/07/12;1036;5825;6861
27/07/12;1259;5645;6904
28/07/12;2234;4451;6685
29/07/12;2153;4444;6597
30/07/12;1040;6065;7105
31/07/12;968;6248;7216
01/08/12;1074;6506;7580
02/08/12;983;6278;7261
03/08/12;1328;5847;7175
04/08/12;2345;4479;6824
05/08/12;1707;3757;5464
06/08/12;1233;5780;7013
07/08/12;1278;5995;7273
08/08/12;1263;6271;7534
09/08/12;1196;6090;7286
10/08/12;1065;4721;5786
11/08/12;2247;4052;6299
12/08/12;2182;4362;6544
13/08/12;1207;5676;6883
14/08/12;1128;5656;6784
15/08/12;1198;6149;7347
16/08/12;1338;6267;7605
17/08/12;1483;5665;7148
18/08/12;2827;5038;7865
19/08/12;1208;3341;4549
20/08/12;1026;5504;6530
21/08/12;1081;5925;7006
22/08/12;1094;6281;7375
23/08/12;1363;6402;7765
24/08/12;1325;6257;7582
25/08/12;1829;4224;6053
26/08/12;1483;3772;5255
27/08/12;989;5928;6917
28/08/12;935;6105;7040
29/08/12;1177;6520;7697
30/08/12;1172;6541;7713
31/08/12;1433;5917;7350
01/09/12;2352;3788;6140
02/09/12;2613;3197;5810
03/09/12;1965;4069;6034
04/09/12;867;5997;6864
05/09/12;832;6280;7112
06/09/12;611;5592;6203
07/09/12;1045;6459;7504
08/09/12;1557;4419;5976
09/09/12;2570;5657;8227
10/09/12;1118;6407;7525
11/09/12;1070;6697;7767
12/09/12;1050;6820;7870
13/09/12;1054;6750;7804
14/09/12;1379;6630;8009
15/09/12;3160;5554;8714
16/09/12;2166;5167;7333
17/09/12;1022;5847;6869
18/09/12;371;3702;4073
19/09/12;788;6803;7591
20/09/12;939;6781;7720
21/09/12;1250;6917;8167
22/09/12;2512;5883;8395
23/09/12;2454;5453;7907
24/09/12;1001;6435;7436
25/09/12;845;6693;7538
26/09/12;787;6946;7733
27/09/12;751;6642;7393
28/09/12;1045;6370;7415
29/09/12;2589;5966;8555
30/09/12;2015;4874;6889
01/10/12;763;6015;6778
02/10/12;315;4324;4639
03/10/12;728;6844;7572
04/10/12;891;6437;7328
05/10/12;1516;6640;8156
06/10/12;3031;4934;7965
07/10/12;781;2729;3510
08/10/12;874;4604;5478
09/10/12;601;5791;6392
10/10/12;780;6911;7691
11/10/12;834;6736;7570
12/10/12;1060;6222;7282
13/10/12;2252;4857;7109
14/10/12;2080;4559;6639
15/10/12;760;5115;5875
16/10/12;922;6612;7534
17/10/12;979;6482;7461
18/10/12;1008;6501;7509
19/10/12;753;4671;5424
20/10/12;2806;5284;8090
21/10/12;2132;4692;6824
22/10/12;830;6228;7058
23/10/12;841;6625;7466
24/10/12;795;6898;7693
25/10/12;875;6484;7359
26/10/12;1182;6262;7444
27/10/12;2643;5209;7852
28/10/12;998;3461;4459
29/10/12;2;20;22
30/10/12;87;1009;1096
31/10/12;419;5147;5566
01/11/12;466;5520;5986
02/11/12;618;5229;5847
03/11/12;1029;4109;5138
04/11/12;1201;3906;5107
05/11/12;378;4881;5259
06/11/12;466;5220;5686
07/11/12;326;4709;5035
08/11/12;340;4975;5315
09/11/12;709;5283;5992
10/11/12;2090;4446;6536
11/11/12;2290;4562;6852
12/11/12;1097;5172;6269
13/11/12;327;3767;4094
14/11/12;373;5122;5495
15/11/12;320;5125;5445
16/11/12;484;5214;5698
17/11/12;1313;4316;5629
18/11/12;922;3747;4669
19/11/12;449;5050;5499
20/11/12;534;5100;5634
21/11/12;615;4531;5146
22/11/12;955;1470;2425
23/11/12;1603;2307;3910
24/11/12;532;1745;2277
25/11/12;309;2115;2424
26/11/12;337;4750;5087
27/11/12;123;3836;3959
28/11/12;198;5062;5260
29/11/12;243;5080;5323
30/11/12;362;5306;5668
01/12/12;951;4240;5191
02/12/12;892;3757;4649
03/12/12;555;5679;6234
04/12/12;551;6055;6606
05/12/12;331;5398;5729
06/12/12;340;5035;5375
07/12/12;349;4659;5008
08/12/12;1153;4429;5582
09/12/12;441;2787;3228
10/12/12;329;4841;5170
11/12/12;282;5219;5501
12/12/12;310;5009;5319
13/12/12;425;5107;5532
14/12/12;429;5182;5611
15/12/12;767;4280;5047
16/12/12;538;3248;3786
17/12/12;212;4373;4585
18/12/12;433;5124;5557
19/12/12;333;4934;5267
20/12/12;314;3814;4128
21/12/12;221;3402;3623
22/12/12;205;1544;1749
23/12/12;408;1379;1787
24/12/12;174;746;920
25/12/12;440;573;1013
26/12/12;9;432;441
27/12/12;247;1867;2114
28/12/12;644;2451;3095
29/12/12;159;1182;1341
30/12/12;364;1432;1796
31/12/12;439;2290;2729
